=================================================
BRAZILIAN SOUTHERN EQUIVALENT SYSTEM - 2017-2025
=================================================
---------------------
BUS DATA 
---------------------
BUS NO.: Bus number
NG: Number of generating units
PGMAX: Maximum generation capacity [MW]
PGMIN: Minimum generation capacity [MW]
PGDESP: Generation dispatch [MW]
LOAD: Load [MW]
TP: Bus type
COST: Production cost [$/MWH]
FAILR: Failure rate [OCC./Y]
MTTR: Mean time to repair [H]

x---x xx x-----x x-----x x-------x x----x xx x---x x------x x-------x x
BUS   NG PGMAX   PGMIN   PGDESP    LOAD   TP COST  FAILR    MTTR
NO.      MW      MW      MW        MW        $/MWH OCC./Y   H 
x---x xx x-----x x-----x x-------x x----x xx x---x x------x x-------x x
51457 00  000.00  000.00  000.0000 079.00 01 00.00 00.00000 000.00000 1
51693 00  000.00  000.00  000.0000 055.00 01 00.00 00.00000 000.00000 1
51703 00  000.00  000.00  000.0000 019.00 01 00.00 00.00000 000.00000 1
51704 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
###

---------------------
CIRCUIT DATA 
---------------------
CIR ID: Circuit identifier
BUS FROM: Origin Bus
BUS TO: Destination Bus
N: Circuit number in branch
R: Resistance [PU]
X: Reactance [PU]
CAP: Circuit capacity [MW]
FAILR: Failure rate [OCC./Y]
MTTR: Mean time to repair [H]

x-x x---------x x x------x x------x x----x x------x x-------x
CIR BUS   BUS   N R        X        CAP    FAILR    MTTR
ID  FROM -TO      PU       PU       MW 	   OCC./Y   H
x-x x---------x x x------x x------x x----x x------x x-------x
001 06601-06603 1 0.004340 0.025300  390.0 00.50000 018.00000 
002 06601-07763 1 0.008530 0.044413  288.0 00.50000 018.00000 
003 06601-07776 1 0.021700 0.112290  237.0 00.50000 018.00000 
004 06603-07763 1 0.001410 0.008340  390.0 00.50000 018.00000 
005 06608-06625 1 0.010700 0.063900  392.0 00.50000 018.00000 
006 06608-44920 1 0.004580 0.032400  350.0 00.50000 018.00000 
007 06615-06617 1 0.002600 0.012600  382.0 00.50000 018.00000 
008 06615-06618 1 0.003400 0.016400  396.0 00.50000 018.00000 
009 06615-06664 1 0.003600 0.021800  385.0 00.50000 018.00000 
